date	close
1986-03-31	5.47604505433176
1986-04-30	5.46179583554051
1986-05-30	5.51080433767372
1986-06-30	5.52481528567482
1986-07-31	5.46434015037249
1986-08-29	5.53311277060269
1986-09-30	5.44380203329002
1986-10-31	5.49708625472059
1986-11-28	5.51833604051472
1986-12-31	5.48963995887241
1987-01-30	5.61342003457581
1987-02-27	5.649678215663
1987-03-31	5.67572587687368
1987-04-30	5.66420969953638
1987-05-29	5.67022569112736
1987-06-30	5.71702770140622
1987-07-31	5.76412470366236
1987-08-31	5.7984864101255
1987-09-30	5.77402345581901
1987-10-30	5.52859540676285
1987-11-30	5.43938280682664
1987-12-31	5.5097121708277
1988-01-29	5.54934842134914
1988-02-29	5.59031511306742
1988-03-31	5.55640326105981
1988-04-29	5.56578397649891
1988-05-31	5.56895500439056
1988-06-30	5.61130162186204
1988-07-29	5.60587559300461
1988-08-31	5.56651076241596
1988-09-30	5.60547112918941
1988-10-31	5.63110424915822
1988-11-30	5.61203261604663
1988-12-30	5.62661341188507
1989-01-31	5.69531337956482
1989-02-28	5.66594214167302
1989-03-31	5.68653458124665
1989-04-28	5.73541033233651
1989-05-31	5.76994467690987
1989-06-30	5.76198848772056
1989-07-31	5.84666996220475
1989-08-31	5.86206745362191
1989-09-29	5.85550162929204
1989-10-31	5.83000388098136
1989-11-30	5.84640987290596
1989-12-29	5.8676005598856
1990-01-31	5.79630088230073
1990-02-28	5.80480358871493
1990-03-30	5.8287691314492
1990-04-30	5.80151396314954
1990-05-31	5.88951487457224
1990-06-29	5.88058885076205
1990-07-31	5.87535199042436
1990-08-31	5.77628916544295
1990-09-28	5.72374848729708
1990-10-31	5.71702770140622
1990-11-30	5.77523454206284
1990-12-31	5.79975909900369
1991-01-31	5.84043814829474
1991-02-28	5.90555256556165
1991-03-28	5.92751252061546
1991-04-30	5.92783228186313
1991-05-31	5.96571074665689
1991-06-28	5.91663323648498
1991-07-31	5.96051552896397
1991-08-30	5.97997378039248
1991-09-30	5.9606444497681
1991-10-31	5.97240914057282
1991-11-29	5.92751252061546
1991-12-31	6.03330202584956
1992-01-31	6.01317711401363
1992-02-28	6.02272093675854
1992-03-31	6.00064725668263
1992-04-30	6.02815803104446
1992-05-29	6.02912153828508
1992-06-30	6.01161025280094
1992-07-31	6.05022861563867
1992-08-31	6.02593843496806
1992-09-30	6.03500284912247
1992-10-30	6.03710690498668
1992-11-30	6.06691982552259
1992-12-31	6.0769768844322
1993-01-29	6.08399814851091
1993-02-26	6.09442719016581
1993-03-31	6.11295182469226
1993-04-30	6.08720645188748
1993-05-28	6.10966971587587
1993-06-30	6.110424667506
1993-07-30	6.10508336889276
1993-08-31	6.13893582646619
1993-09-30	6.12889769298378
1993-10-29	6.14810498206391
1993-11-30	6.13511024229009
1993-12-31	6.14515083340697
1994-01-31	6.17713465789864
1994-02-28	6.14662899860933
1994-03-31	6.09980312393637
1994-04-29	6.1112677630476
1994-05-31	6.12358870003502
1994-06-30	6.09643248571752
1994-07-29	6.1274367086312
1994-08-31	6.16434585127008
1994-09-30	6.13710050795518
1994-10-31	6.15772023621514
1994-11-30	6.11741414543076
1994-12-30	6.1296382724121
1995-01-31	6.1536259126874
1995-02-28	6.18906462395149
1995-03-31	6.21602709117561
1995-04-28	6.24360363526344
1995-05-31	6.27927161174791
1995-06-30	6.30032697382473
1995-07-31	6.33160860576092
1995-08-31	6.33128830396271
1995-09-29	6.37060279129756
1995-10-31	6.36561097195872
1995-11-30	6.4058398413459
1995-12-29	6.42313332071278
1996-01-31	6.45523000938657
1996-02-29	6.46213982574676
1996-03-29	6.4700252102867
1996-04-30	6.48336725651687
1996-05-31	6.50596341624027
1996-06-28	6.50821756908876
1996-07-31	6.4613900483018
1996-08-30	6.48002922438572
1996-09-30	6.53281452623651
1996-10-31	6.55858070821804
1996-11-29	6.6293896731677
1996-12-31	6.6076496865313
1997-01-31	6.66716033405417
1997-02-28	6.67307038182137
1997-03-31	6.62952176134997
1997-04-30	6.68628532641994
1997-05-30	6.74321076997086
1997-06-30	6.78574582458728
1997-07-31	6.86098856625335
1997-08-29	6.80180570097226
1997-09-30	6.8535947200227
1997-10-31	6.81850867846792
1997-11-28	6.86213010095586
1997-12-31	6.87773927223854
1998-01-30	6.88783824514178
1998-02-27	6.95591667408915
1998-03-31	7.0046551037221
1998-04-30	7.01369062939081
1998-05-29	6.9946849859702
1998-06-30	7.03336538085865
1998-07-31	7.02168199971602
1998-08-31	6.86409592964172
1998-09-30	6.92462222884191
1998-10-30	7.00185563633723
1998-11-30	7.05929970834438
1998-12-31	7.1141432360763
1999-01-29	7.15433406735546
1999-02-26	7.12151897669009
1999-03-31	7.15957957725724
1999-04-30	7.19682139320608
1999-05-28	7.17153392735236
1999-06-30	7.22454216714402
1999-07-30	7.19197135179074
1999-08-31	7.18569757341295
1999-09-30	7.15673030633061
1999-10-29	7.21739207307763
1999-11-30	7.23627454583865
1999-12-31	7.29250734549276
2000-01-31	7.24026252253998
2000-02-29	7.21994945992953
2000-03-31	7.31227327205175
2000-04-28	7.28099329479367
2000-05-31	7.25883459656371
2000-06-30	7.28248622772044
2000-07-31	7.26600997445608
2000-08-31	7.32493813204429
2000-09-29	7.26997183975954
2000-10-31	7.26501005478588
2000-11-30	7.18155392107529
2000-12-29	7.18559911429801
2001-01-31	7.21964936074816
2001-02-28	7.12281827033162
2001-03-30	7.05645972640148
2001-04-30	7.13046673695746
2001-05-31	7.13554402465607
2001-06-29	7.11018987240665
2001-07-31	7.09939165120075
2001-08-31	7.03313604531328
2001-09-28	6.94787943006629
2001-10-31	6.96581661839541
2001-11-30	7.03830096882878
2001-12-31	7.04584626086268
2002-01-31	7.03014988719574
2002-02-28	7.00916500052058
2002-03-28	7.04524507677333
2002-04-30	6.98186039398892
2002-05-31	6.9727374516918
2002-06-28	6.89752310841589
2002-07-31	6.81522323657799
2002-08-30	6.8200927809683
2002-09-30	6.70353161252044
2002-10-31	6.7864460335492
2002-11-29	6.84194661822531
2002-12-31	6.77971734109543
2003-01-31	6.75191984742401
2003-02-28	6.73477000316517
2003-03-31	6.743092877418
2003-04-30	6.82102022744748
2003-05-30	6.87066589293676
2003-06-30	6.88192451894762
2003-07-31	6.89801802542639
2003-08-29	6.91573336921703
2003-09-30	6.90371713664904
2003-10-31	6.95722140511399
2003-11-28	6.96432463047003
2003-12-31	7.0138435297765
2004-01-30	7.03097241203947
2004-02-27	7.0431075128686
2004-03-31	7.02661329219861
2004-04-30	7.00967989870406
2004-05-28	7.02169092290963
2004-06-30	7.03952011215894
2004-07-30	7.00462787394361
2004-08-31	7.00691259451532
2004-09-30	7.01623293131753
2004-10-29	7.03014988719574
2004-11-30	7.06801866665688
2004-12-31	7.09996115785007
2005-01-31	7.07434540988155
2005-02-28	7.09307234475589
2005-03-31	7.07376959250136
2005-04-29	7.05345607315369
2005-05-31	7.0829682965388
2005-06-30	7.0828256090619
2005-07-29	7.11816206092663
2005-08-31	7.10687659295427
2005-09-30	7.11380150038113
2005-10-31	7.09590150606735
2005-11-30	7.13048274374434
2005-12-30	7.1295298937301
2006-07-31	7.15200257156083
2006-08-31	7.17305369614883
2006-09-29	7.19732307234413
2006-10-31	7.22834490926135
2006-11-30	7.24467741438372
2006-12-29	7.25721425030056
2007-01-31	7.27117542282509
2007-02-28	7.2490871171607
2007-03-30	7.25901760107599
2007-04-30	7.30139743731359
2007-05-31	7.33342816106165
2007-06-29	7.31545123024166
2007-07-31	7.28294672940047
2007-08-31	7.29572828846575
2007-09-28	7.33089657210324
2007-10-31	7.34561012989195
2007-11-30	7.30056734052254
2007-12-31	7.29190141071773
2008-01-31	7.22878750111546
2008-02-29	7.19340779327338
2008-03-31	7.187430381032
2008-04-30	7.23388132069206
2008-05-30	7.24449890734471
2008-06-30	7.15461535691366
2008-07-31	7.14470705642721
2008-08-29	7.15682385388792
2008-09-30	7.06164306711354
2008-10-31	6.87600658066756
2008-11-28	6.79820823425047
2008-12-31	6.80599937002775
2009-01-30	6.71644948451668
2009-02-27	6.59999294069616
2009-03-31	6.68194567691081
2009-04-30	6.77171789183178
2009-05-29	6.82343845025266
2009-06-30	6.82363426631673
2009-07-31	6.89515624340562
2009-08-31	6.92816556475376
2009-09-30	6.9632656689097
2009-10-30	6.94330580368753
2009-11-30	6.99908481927033
2009-12-31	7.01669936597132
2010-01-29	6.979024224912
2010-02-26	7.00713896894866
2010-03-31	7.06427172959414
2010-04-30	7.078923197906
2010-05-28	6.99339154427223
2010-06-30	6.93800316413986
2010-07-30	7.00451894741444
2010-08-31	6.95590714424406
2010-09-30	7.03983561933935
2010-10-29	7.07602862005003
2010-11-30	7.07373571056297
2010-12-31	7.1369922277849
2011-01-31	7.15938521304142
2011-02-28	7.19084180808156
2011-03-31	7.18979395739862
2011-04-29	7.21789087376575
2011-05-31	7.20429797986611
2011-06-30	7.18587174656422
2011-07-29	7.16416337912879
2011-08-31	7.10569588750967
2011-09-30	7.03122875996689
2011-10-31	7.13353535161748
2011-11-30	7.1284638681808
2011-12-30	7.13696042167494
2012-01-31	7.17962042068608
2012-02-29	7.2194077520725
2012-03-30	7.25025928783507
2012-04-30	7.24273354303902
2012-05-31	7.17803429286855
2012-06-29	7.21682695411239
2012-07-31	7.2293459030851
2012-08-31	7.24891650508948
2012-09-28	7.27286356213968
2012-10-31	7.25287572608118
2012-11-30	7.25571838481884
2012-12-31	7.2627618319303
2013-01-31	7.31195959262288
2013-02-28	7.32295947451103
2013-03-28	7.35831484164112
2013-04-30	7.37623900375804
2013-05-31	7.39678917850962
2013-06-28	7.38167622551192
2013-07-31	7.42995398338889
2013-08-30	7.39815572170557
2013-09-30	7.42747126609357
2013-10-31	7.47110124400566
2013-11-29	7.49876452356986
2013-12-31	7.52205403842437
2014-01-31	7.48582264189742
2014-02-28	7.52803602405497
2014-03-31	7.53494426447753
2014-04-30	7.541125915506
2014-05-30	7.56193811352394
2014-06-30	7.58081709227872
2014-07-31	7.56562237191529
2014-08-29	7.60258604152227
2014-09-30	7.58695058317402
2014-10-31	7.60988697761355
2014-11-28	7.63412444703299
2014-12-31	7.6299271385827
2015-01-30	7.59839431678007
2015-02-27	7.65183318821063
2015-03-31	7.63428404272424
2015-04-30	7.64276870863869
2015-05-29	7.65320549397053
2015-06-30	7.63196983205694
2015-07-31	7.65151952533861
2015-08-31	7.58689480888747
2015-09-30	7.56009608989976
2015-10-30	7.63981543304068
2015-11-30	7.6403202686553
2015-12-31	7.62263459668532
2016-01-29	7.57056695574596
2016-02-29	7.5664300553059
2016-03-31	7.63033504022579
2016-04-29	7.6330307732936
2016-05-31	7.64823918703158
2016-06-30	7.64914961916837
2016-07-29	7.68414005811214
2016-08-31	7.68292013875172
2016-09-30	7.68168489355062
2016-10-31	7.66206811144593
2016-11-30	7.6956715839114
2016-12-30	7.71370868696316
2017-01-31	7.73143498505617
2017-02-28	7.7679580826656
2017-03-31	7.76756877672546
2017-04-28	7.7766189172839
2017-05-31	7.78812863566949
2017-06-30	7.79293091822284
2017-07-31	7.81209487973654
2017-08-31	7.81264122279285
2017-09-29	7.8317601799961
2017-10-31	7.85370577887441
2017-11-30	7.88140129420506
2017-12-29	7.89118489810942
2018-01-31	7.94584231589644
2018-02-28	7.90611620026052
2018-03-29	7.87886368730673
2018-04-30	7.88157879905386
2018-05-31	7.9029570014565
2018-06-29	7.9077877149533
2018-07-31	7.9431756949301
2018-08-31	7.97299001659329
2018-09-28	7.97727512331361
2018-10-31	7.90534577425795
2018-11-30	7.92304755101725
2018-12-31	7.82678226389917
2019-01-31	7.90252441872755
2019-02-28	7.93182001171424
2019-03-29	7.94958555355126
2019-04-30	7.98814588999435
2019-05-31	7.92010500114115
2019-06-28	7.98676332067539
2019-07-31	7.9998060881484
2019-08-30	7.98154878043353
2019-09-30	7.9985840209572
2019-10-31	8.01880984054013
2019-11-29	8.05229013211946
2019-12-31	8.08047887313175
2020-01-31	8.07884945654213
2020-02-28	7.99098993560592
2020-03-31	7.85732216701296
2020-04-30	7.97674306325036
2020-05-29	8.02102955348089
2020-06-30	8.03925093448496
2020-07-31	8.0928877128942
2020-08-31	8.16060681498386
2020-09-30	8.12058871174027
2020-10-30	8.09253303140058
2020-11-30	8.19467947971898
2020-12-31	8.2311284770022
2021-01-29	8.21992936018026
2021-02-26	8.24568625984738
2021-03-31	8.28724906854483
2021-04-30	8.33834639065912
2021-05-28	8.34381789721114
2021-06-30	8.365788737257
2021-07-30	8.38828196650375
2021-08-31	8.41686001747244
2021-09-30	8.36812225448781
2021-10-29	8.43498046428599
2021-11-30	8.426611813185
2021-12-31	8.46930042446545
2022-01-31	8.41528227460043
2022-02-28	8.3834194837215
2022-03-31	8.41856772210777
2022-04-29	8.32649988914734
2022-05-31	8.32655313161354
2022-06-30	8.23890155713337
2022-07-29	8.32610290140759
2022-08-31	8.28273588020175
2022-09-30	8.18468668089813
2022-10-31	8.26152128309387
2022-11-30	8.31387922781909
2022-12-30	8.2530974287706
2023-01-31	8.31301858664963
2023-02-28	8.28655915634278
2023-03-31	8.32101041018464
2023-04-28	8.33554660677732
2023-05-31	8.3380258548353
2023-06-30	8.40074476477292
2023-07-31	8.43140869786088
2023-08-31	8.41353345084239
2023-09-29	8.36358736313042
2023-10-31	8.3413624754632
2023-11-30	8.42678692375547
2023-12-29	8.47006384732132
2024-01-31	8.48583873795759
2024-02-29	8.53626614079752
2024-03-28	8.56680968075164
2024-04-30	8.52430782230164
2024-05-31	8.57120777972248
2024-06-28	8.60529380830198
2024-07-31	8.61654790831503
2024-08-30	8.63912582778067
2024-09-30	8.65912495194548
2024-10-31	8.64917538465083
2024-11-29	8.70489856277015
2024-12-31	8.67958751315079
2025-01-31	8.70624537993833
2025-02-28	8.69190419460877
2025-03-31	8.63263393048093
2025-04-30	8.62498335309228
2025-05-30	8.68468533396419
2025-06-30	8.73310102797068
2025-07-31	8.75453625085123
2025-08-29	8.77342329571824
2025-09-30	8.80814042741497
2025-10-31	8.83057078800858
2025-11-28	8.83186961566699
2025-12-31	8.83134532025907
2026-01-30	8.84491583315509
2026-02-27	8.83621258070184
2026-03-31	8.78393708207381
2026-04-30	8.88308829871062
2026-05-29	8.93327507492073
2026-06-10	8.89109883061664
